catch_id,date,site,species,sex,length_cm,weight_kg,gear,vessel,depth_m,water_temp_c,legal_size,value_aud
C0581,2023-03-29,Fitzroy Reef,Barramundi,F,63.1,3.68,net,FV-058,16.2,28.1,True,80.96
C0657,2023-03-29,Green Island,Grass Emperor,M,25.8,0.3,spear,FV-041,14.3,29.8,False,4.5
C0412,2023-03-29,Michaelmas Cay,Spanish Mackerel,U,70.0,3.13,trap,FV-034,44.3,28.4,False,56.34
C0171,2023-03-29,Cairns Inlet,Barramundi,M,55.6,2.31,net,FV-058,29.9,28.3,False,50.82
C1950,2023-03-29,Michaelmas Cay,Grass Emperor,F,21.0,0.14,spear,FV-034,4.3,29.3,False,2.1
C1996,2023-03-31,Green Island,Mangrove Jack,F,37.3,0.73,trap,FV-058,24.6,29.2,True,14.6
C0808,2023-03-31,Frankland Islands,Mangrove Jack,U,46.9,1.35,line,FV-027,4.5,28.5,True,27.0
C1336,2023-04-01,Michaelmas Cay,Barramundi,M,71.7,5.88,line,FV-063,32.8,28.7,True,129.36
C0035,2023-04-01,Frankland Islands,Coral Trout,M,43.8,1.19,trap,FV-034,11.0,29.3,True,33.32
C1901,2023-04-01,Fitzroy Reef,Red Emperor,M,47.1,1.36,line,FV-071,4.4,29.3,True,35.36
C0864,2023-04-01,Cairns Inlet,Grass Emperor,F,36.5,0.78,spear,FV-027,44.1,28.7,True,11.7
C0071,2023-04-02,Cairns Inlet,Grass Emperor,F,31.6,0.53,line,FV-041,39.4,29.0,True,7.95
C0672,2023-04-03,Fitzroy Reef,Barramundi,M,69.2,4.51,line,FV-063,35.0,29.7,True,99.22
C1544,2023-04-03,Cairns Inlet,Coral Trout,U,34.3,0.63,trap,FV-012,41.9,28.6,False,17.64
C1762,2023-04-03,Frankland Islands,Barramundi,M,52.9,2.08,spear,FV-034,30.6,28.2,False,45.76
C1428,2023-04-03,Cairns Inlet,Grass Emperor,F,39.7,0.96,trap,FV-027,44.2,28.3,True,14.4
C1156,2023-04-03,Frankland Islands,Barramundi,F,73.4,5.85,line,FV-027,25.5,28.7,True,128.7
C0879,2023-04-03,Michaelmas Cay,Barramundi,M,71.0,5.29,spear,FV-012,41.8,29.1,True,116.38
C1317,2023-04-05,Michaelmas Cay,Red Emperor,F,44.3,1.23,trap,FV-063,34.0,28.8,False,31.98
C0625,2023-04-05,Cairns Inlet,Coral Trout,F,33.6,0.54,line,FV-071,33.7,28.9,False,15.12
C0034,2023-04-05,Green Island,Grass Emperor,U,34.5,0.56,net,FV-058,32.9,29.5,True,8.4
C0612,2023-04-05,Michaelmas Cay,Coral Trout,M,50.5,1.93,trap,FV-012,31.1,29.5,True,54.04
C1862,2023-04-05,Frankland Islands,Spanish Mackerel,M,88.6,6.0,trap,FV-012,14.8,28.8,True,108.0
C1445,2023-04-06,Cairns Inlet,Spanish Mackerel,F,88.2,6.39,trap,FV-027,24.0,29.0,True,115.02
C0703,2023-04-06,Green Island,Spanish Mackerel,F,74.9,4.04,line,FV-071,26.3,28.7,False,72.72
C0423,2023-04-07,Green Island,Barramundi,M,53.6,2.18,trap,FV-071,28.0,29.4,False,47.96
C0488,2023-04-07,Trinity Bay,Barramundi,U,67.0,4.13,net,FV-027,33.9,28.8,True,90.86
C1737,2023-04-07,Frankland Islands,Grass Emperor,F,35.4,0.63,line,FV-027,10.6,28.4,True,9.45
C1438,2023-04-07,Trinity Bay,Barramundi,F,59.2,3.18,spear,FV-034,28.4,29.6,True,69.96
C0990,2023-04-08,Cairns Inlet,Barramundi,M,52.5,2.05,line,FV-041,12.4,28.8,False,45.1
C0890,2023-04-08,Michaelmas Cay,Grass Emperor,F,40.5,1.06,trap,FV-012,26.8,28.9,True,15.9
C0192,2023-04-09,Michaelmas Cay,Spanish Mackerel,M,88.3,5.55,line,FV-088,3.7,28.1,True,99.9
C1271,2023-04-09,Green Island,Red Emperor,M,59.2,2.46,line,FV-034,37.9,29.2,True,63.96
C1323,2023-04-10,Frankland Islands,Barramundi,F,72.3,4.83,line,FV-063,17.2,27.8,True,106.26
C0981,2023-04-10,Trinity Bay,Red Emperor,M,50.5,1.78,line,FV-058,17.8,29.5,True,46.28
C1062,2023-04-10,Fitzroy Reef,Mangrove Jack,U,46.6,1.3,trap,FV-041,18.4,29.3,True,26.0
C0474,2023-04-10,Frankland Islands,Mangrove Jack,F,49.9,1.49,net,FV-027,15.1,29.2,True,29.8
C0350,2023-04-11,Trinity Bay,Mangrove Jack,F,39.2,0.88,line,FV-058,18.3,28.1,True,17.6
C0386,2023-04-11,Frankland Islands,Grass Emperor,U,39.7,0.96,line,FV-063,30.5,28.5,True,14.4
C1353,2023-04-12,Michaelmas Cay,Barramundi,U,55.1,2.52,spear,FV-034,36.0,29.3,False,55.44
C0973,2023-04-12,Fitzroy Reef,Red Emperor,M,53.9,2.3,line,FV-034,23.7,28.9,True,59.8
C1048,2023-04-12,Green Island,Red Emperor,M,55.1,2.65,spear,FV-071,18.5,29.4,True,68.9
C1524,2023-04-14,Michaelmas Cay,Barramundi,M,65.0,4.31,trap,FV-027,44.2,28.8,True,94.82
C1367,2023-04-14,Green Island,Spanish Mackerel,M,82.2,5.05,trap,FV-012,29.9,29.6,True,90.9
C0850,2023-04-14,Fitzroy Reef,Barramundi,M,73.2,4.99,net,FV-034,13.7,28.3,True,109.78
C0614,2023-04-15,Trinity Bay,Mangrove Jack,M,52.5,1.92,spear,FV-063,28.6,28.5,True,38.4
C1131,2023-04-15,Cairns Inlet,Grass Emperor,U,42.9,1.2,line,FV-027,24.7,29.6,True,18.0
C1586,2023-04-15,Green Island,Red Emperor,U,51.1,,net,FV-027,38.0,29.2,True,48.1
C0644,2023-04-16,Fitzroy Reef,Grass Emperor,F,51.5,2.38,trap,FV-012,14.5,28.6,True,35.7
C1139,2023-04-16,Michaelmas Cay,Mangrove Jack,F,26.4,0.23,net,FV-012,40.8,28.0,False,4.6
C1711,2023-04-17,Cairns Inlet,Barramundi,F,67.2,4.34,trap,FV-027,5.5,29.2,True,95.48
C1517,2023-04-17,Trinity Bay,Spanish Mackerel,M,76.6,3.47,line,FV-071,33.6,29.1,True,62.46
C0848,2023-04-17,Michaelmas Cay,Spanish Mackerel,F,91.2,7.35,net,FV-012,39.3,29.7,True,132.3
C1098,2023-04-17,Frankland Islands,Red Emperor,F,48.4,1.66,line,FV-027,3.8,28.2,True,43.16
C0816,2023-04-18,Trinity Bay,Grass Emperor,M,37.1,0.79,line,FV-012,18.0,29.0,True,11.85
C1256,2023-04-18,Fitzroy Reef,Grass Emperor,U,35.7,0.77,trap,FV-027,33.8,28.0,True,11.55
C1811,2023-04-18,Michaelmas Cay,Coral Trout,F,54.4,2.45,line,FV-041,17.7,29.5,True,68.6
C1636,2023-04-19,Trinity Bay,Coral Trout,M,43.3,1.02,net,FV-034,26.9,28.9,True,28.56
C0941,2023-04-19,Michaelmas Cay,Mangrove Jack,F,35.8,0.6,net,FV-071,25.8,28.7,True,12.0
C1764,2023-04-19,Fitzroy Reef,Coral Trout,M,33.2,0.52,line,FV-041,8.4,28.2,False,14.56
C1183,2023-04-20,Green Island,Grass Emperor,U,30.0,0.46,line,FV-058,24.9,28.6,True,6.9
C1409,2023-04-20,Green Island,Coral Trout,U,47.3,1.54,trap,FV-012,9.3,28.5,True,43.12
C0365,2023-04-20,Frankland Islands,Red Emperor,M,53.0,2.21,trap,FV-071,25.3,29.0,True,57.46
C0258,2023-04-21,Michaelmas Cay,Spanish Mackerel,U,84.2,5.11,spear,FV-088,32.2,28.4,True,91.98
C0846,2023-04-21,Green Island,Grass Emperor,F,25.8,0.25,line,FV-041,39.0,28.8,False,3.75
C1911,2023-04-22,Trinity Bay,Spanish Mackerel,F,69.0,2.78,spear,FV-034,7.6,27.8,False,50.04
C0419,2023-04-22,Cairns Inlet,Spanish Mackerel,M,72.8,3.04,line,FV-071,25.7,28.1,False,54.72
C1170,2023-04-23,Fitzroy Reef,Red Emperor,F,45.1,1.32,net,FV-034,7.6,28.2,True,34.32
C1596,2023-04-23,Cairns Inlet,Barramundi,M,69.4,4.63,trap,FV-041,24.3,29.0,True,101.86
C0384,2023-04-23,Cairns Inlet,Coral Trout,M,44.5,1.2,trap,FV-088,29.3,29.6,True,33.6
C0005,2023-04-23,Green Island,Barramundi,F,66.4,4.16,net,FV-063,6.8,29.3,True,91.52
C1255,2023-04-24,Frankland Islands,Spanish Mackerel,M,80.9,4.45,line,FV-088,4.3,28.5,True,80.1
C0043,2023-04-24,Green Island,Spanish Mackerel,F,74.2,3.55,trap,FV-058,36.7,29.4,False,63.9
C1407,2023-04-24,Trinity Bay,Grass Emperor,F,29.4,0.42,line,FV-027,34.1,29.1,True,6.3
C0674,2023-04-25,Frankland Islands,Red Emperor,U,60.2,2.58,net,FV-063,18.8,28.2,True,67.08
C0250,2023-04-25,Frankland Islands,Grass Emperor,M,43.6,1.26,net,FV-063,15.4,29.1,True,18.9
C1521,2023-04-26,Michaelmas Cay,Coral Trout,U,39.9,0.86,trap,FV-088,38.2,29.2,True,24.08
C1422,2023-04-26,Trinity Bay,Grass Emperor,U,25.5,0.26,spear,FV-034,41.2,28.9,False,3.9
C1865,2023-04-26,Michaelmas Cay,Coral Trout,M,43.2,1.08,trap,FV-088,40.0,28.0,True,30.24
C0216,2023-04-26,Green Island,Mangrove Jack,F,49.8,1.78,line,FV-012,10.5,28.6,True,35.6
C0516,2023-04-27,Frankland Islands,Mangrove Jack,M,40.8,1.06,spear,FV-088,27.0,29.0,True,21.2
C1703,2023-04-27,Cairns Inlet,Grass Emperor,U,41.1,1.02,line,FV-071,37.9,28.5,True,15.3
C1304,2023-04-27,Frankland Islands,Barramundi,F,53.5,2.55,line,FV-027,11.8,28.5,False,56.1
C0745,2023-04-28,Green Island,Red Emperor,F,63.9,3.59,line,FV-027,41.6,28.2,True,93.34
C0800,2023-04-28,Cairns Inlet,Spanish Mackerel,F,87.7,5.57,trap,FV-034,5.0,29.0,True,100.26
C0545,2023-04-28,Michaelmas Cay,Barramundi,F,59.4,2.38,line,FV-058,37.5,27.9,True,52.36
C1205,2023-04-28,Cairns Inlet,Mangrove Jack,F,49.9,1.67,trap,FV-012,22.0,28.3,True,33.4
C0855,2023-04-29,Fitzroy Reef,Coral Trout,F,40.0,0.84,line,FV-034,12.1,28.6,True,23.52
C1659,2023-04-29,Michaelmas Cay,Coral Trout,F,47.6,1.6,spear,FV-034,30.4,29.0,True,44.8
C0079,2023-04-29,Fitzroy Reef,Spanish Mackerel,M,82.2,4.81,line,FV-058,5.2,27.7,True,86.58
C1611,2023-04-29,Green Island,Coral Trout,M,45.0,1.28,line,FV-012,30.9,28.4,True,35.84
C1706,2023-04-29,Cairns Inlet,Barramundi,F,63.7,3.59,line,FV-058,19.2,29.6,True,78.98
C0937,2023-04-30,Cairns Inlet,Mangrove Jack,F,35.0,0.59,net,FV-058,27.2,28.0,True,11.8
C1790,2023-04-30,Trinity Bay,Coral Trout,F,31.5,0.41,net,FV-071,7.8,28.1,False,11.48
C1794,2023-04-30,Trinity Bay,Red Emperor,M,57.2,2.53,trap,FV-088,29.9,29.1,True,65.78
C1520,2023-05-01,Michaelmas Cay,Grass Emperor,U,24.1,0.2,net,FV-071,31.7,28.9,False,3.0
C0158,2023-05-01,Fitzroy Reef,Barramundi,F,58.7,2.7,net,FV-063,36.7,29.0,True,59.4
C0323,2023-05-01,Green Island,Spanish Mackerel,M,82.3,4.68,trap,FV-071,17.8,29.1,True,84.24
C1080,2023-05-01,Frankland Islands,Spanish Mackerel,U,91.8,7.21,line,FV-071,22.8,28.4,True,129.78
C1007,2023-05-01,Trinity Bay,Coral Trout,F,42.9,1.1,line,FV-058,39.3,28.4,True,30.8
C1618,2023-05-02,Green Island,Coral Trout,M,44.0,1.25,trap,FV-012,25.5,29.2,True,35.0
C1948,2023-05-02,Michaelmas Cay,Red Emperor,F,43.2,1.21,trap,FV-027,14.5,29.3,False,31.46
C1639,2023-05-02,Trinity Bay,Coral Trout,M,43.1,1.07,line,FV-012,34.5,28.1,True,29.96
C0933,2023-05-02,Cairns Inlet,Grass Emperor,M,29.2,0.38,trap,FV-041,44.6,30.5,True,5.7
C0918,2023-05-03,Green Island,Coral Trout,M,41.3,0.95,line,FV-012,32.2,28.5,True,26.6
C0517,2023-05-03,Fitzroy Reef,Red Emperor,U,68.0,4.46,spear,FV-041,11.2,28.9,True,115.96
C0130,2023-05-03,Trinity Bay,Mangrove Jack,F,30.0,0.37,trap,FV-012,33.9,28.0,False,7.4
C1680,2023-05-03,Michaelmas Cay,Spanish Mackerel,F,81.9,5.08,line,FV-041,22.1,28.0,True,91.44
C1643,2023-05-03,Green Island,Barramundi,U,53.4,2.16,trap,FV-071,32.4,29.4,False,47.52
C1067,2023-05-05,Michaelmas Cay,Barramundi,M,59.0,2.42,net,FV-058,7.5,27.7,True,53.24
C0839,2023-05-05,Trinity Bay,Mangrove Jack,,44.2,1.3,net,FV-088,16.5,27.6,True,26.0
C1359,2023-05-06,Green Island,Spanish Mackerel,F,89.4,6.85,spear,FV-088,25.5,29.7,True,123.3
C0778,2023-05-06,Frankland Islands,Spanish Mackerel,M,85.2,5.88,spear,FV-058,10.4,28.2,True,105.84
C1945,2023-05-06,Michaelmas Cay,Grass Emperor,M,49.4,1.73,net,FV-012,43.6,27.6,True,25.95
C0531,2023-05-07,Michaelmas Cay,Mangrove Jack,F,42.4,1.05,spear,FV-088,6.4,28.2,True,21.0
C0989,2023-05-07,Fitzroy Reef,Grass Emperor,M,26.7,0.28,spear,FV-034,19.3,27.5,False,4.2
C0932,2023-05-07,Cairns Inlet,Grass Emperor,M,37.4,0.79,line,FV-058,25.0,29.1,True,11.85
C1612,2023-05-08,Fitzroy Reef,Coral Trout,F,50.9,1.76,trap,FV-041,41.9,29.0,True,49.28
C1038,2023-05-09,Frankland Islands,Grass Emperor,F,40.1,1.05,line,FV-027,37.3,27.8,True,15.75
C0439,2023-05-09,Trinity Bay,Spanish Mackerel,M,75.0,3.43,trap,FV-012,3.9,29.4,True,61.74
C1766,2023-05-09,Michaelmas Cay,Spanish Mackerel,M,93.3,6.67,line,FV-058,32.0,27.6,True,120.06
C1953,2023-05-09,Cairns Inlet,Grass Emperor,U,44.7,1.42,line,FV-041,6.2,28.4,True,21.3
C1909,2023-05-09,Frankland Islands,Mangrove Jack,M,46.4,1.31,trap,FV-012,14.1,28.2,True,26.2
C1874,2023-05-09,Fitzroy Reef,Grass Emperor,U,41.5,0.99,net,FV-027,19.4,28.5,True,14.85
C0133,2023-05-09,Trinity Bay,Spanish Mackerel,F,76.5,4.06,spear,FV-012,33.0,29.0,True,73.08
C1915,2023-05-10,Fitzroy Reef,Coral Trout,F,43.3,1.22,trap,FV-027,18.0,28.4,True,34.16
C1358,2023-05-10,Trinity Bay,Coral Trout,M,49.4,1.54,net,FV-063,24.1,27.7,True,43.12
C1268,2023-05-11,Green Island,Coral Trout,F,36.9,0.59,line,FV-041,31.2,28.2,False,16.52
C1999,2023-05-11,Cairns Inlet,Red Emperor,M,58.0,2.7,line,FV-041,3.6,27.6,True,70.2
C1077,2023-05-11,Frankland Islands,Barramundi,M,71.2,4.59,net,FV-088,34.4,27.7,True,100.98
C1738,2023-05-11,Trinity Bay,Coral Trout,F,56.2,2.51,line,FV-034,24.1,28.0,True,70.28
C1698,2023-05-11,Michaelmas Cay,Grass Emperor,M,30.0,0.42,line,FV-088,8.1,27.1,True,6.3
C1770,2023-05-12,Fitzroy Reef,Coral Trout,M,42.4,1.2,line,FV-012,15.0,27.5,True,33.6
C0457,2023-05-13,Fitzroy Reef,Coral Trout,M,49.5,1.7,net,FV-034,37.4,27.4,True,47.6
C1879,2023-05-13,Michaelmas Cay,Coral Trout,F,40.7,0.93,line,FV-041,18.4,28.0,True,26.04
C0263,2023-05-13,Trinity Bay,Coral Trout,F,59.1,3.16,trap,FV-041,41.0,28.8,True,88.48
C0637,2023-05-14,Frankland Islands,Mangrove Jack,F,44.9,1.21,line,FV-027,35.5,27.3,True,24.2
C0440,2023-05-14,Trinity Bay,Red Emperor,M,57.3,2.48,line,FV-012,36.3,28.4,True,64.48
C1142,2023-05-15,Trinity Bay,Barramundi,M,72.0,5.87,trap,FV-034,28.2,28.5,True,129.14
C1482,2023-05-16,Frankland Islands,Grass Emperor,F,23.9,0.2,spear,FV-034,16.4,28.7,False,3.0
C0596,2023-05-16,Michaelmas Cay,Spanish Mackerel,U,85.2,4.43,trap,FV-012,40.0,28.1,True,79.74
C0325,2023-05-16,Michaelmas Cay,Grass Emperor,F,26.2,0.27,line,FV-034,32.0,29.1,False,4.05
C0803,2023-05-16,Cairns Inlet,Red Emperor,F,54.3,2.49,net,FV-058,32.4,27.9,True,64.74
C1071,2023-05-17,Fitzroy Reef,Coral Trout,U,52.3,2.18,trap,FV-027,4.1,28.4,True,61.04
C1864,2023-05-17,Michaelmas Cay,Spanish Mackerel,M,82.3,4.64,line,FV-027,19.6,27.7,True,83.52
C0272,2023-05-17,Michaelmas Cay,Spanish Mackerel,U,86.4,5.17,line,FV-012,16.6,28.8,True,93.06
C1855,2023-05-17,Cairns Inlet,Barramundi,M,71.8,6.16,line,FV-034,34.9,28.5,True,135.52
C0588,2023-05-18,Michaelmas Cay,Grass Emperor,F,32.5,0.54,line,FV-027,18.6,27.0,True,8.1
C0556,2023-05-18,Michaelmas Cay,Coral Trout,F,38.3,0.65,line,FV-071,23.7,28.3,True,18.2
C0579,2023-05-18,Frankland Islands,Coral Trout,M,38.5,0.68,net,FV-063,34.3,28.6,True,19.04
C0587,2023-05-19,Cairns Inlet,Barramundi,F,78.5,7.55,trap,FV-041,18.8,28.2,True,166.1
C0120,2023-05-19,Cairns Inlet,Coral Trout,F,46.2,1.33,trap,FV-058,19.2,27.6,True,37.24
C0281,2023-05-20,Fitzroy Reef,Spanish Mackerel,F,82.6,5.02,spear,FV-071,27.6,27.1,True,90.36
C0077,2023-05-21,Frankland Islands,Spanish Mackerel,M,77.8,3.87,line,FV-063,34.3,28.7,True,69.66
C1039,2023-05-21,Cairns Inlet,Spanish Mackerel,F,88.3,6.05,line,FV-088,13.8,28.5,True,108.9
C0926,2023-05-22,Michaelmas Cay,Mangrove Jack,F,53.0,2.2,trap,FV-058,41.7,27.5,True,44.0
C1495,2023-05-22,Michaelmas Cay,Barramundi,F,59.2,2.84,line,FV-027,24.4,28.3,True,62.48
C0266,2023-05-22,Fitzroy Reef,Mangrove Jack,U,46.1,1.43,net,FV-088,3.1,28.2,True,28.6
C1557,2023-05-22,Frankland Islands,Mangrove Jack,F,31.3,0.35,line,FV-071,41.2,28.1,False,7.0
C1560,2023-05-22,Michaelmas Cay,Mangrove Jack,M,55.2,2.64,net,FV-063,7.6,26.9,True,52.8
C1219,2023-05-22,Trinity Bay,Spanish Mackerel,U,74.5,3.89,net,FV-071,14.8,27.6,False,70.02
C1118,2023-05-23,Michaelmas Cay,Grass Emperor,F,27.8,0.37,trap,FV-034,4.7,27.0,False,5.55
C0694,2023-05-24,Frankland Islands,Coral Trout,U,46.9,1.65,trap,FV-012,14.5,28.9,True,46.2
C0681,2023-05-24,Frankland Islands,Red Emperor,M,48.5,1.56,net,FV-063,41.7,27.4,True,40.56
C0742,2023-05-25,Frankland Islands,Grass Emperor,U,37.4,0.87,line,FV-088,33.2,27.6,True,13.05
C1450,2023-05-25,Green Island,Coral Trout,F,44.8,1.31,line,FV-058,6.7,28.0,True,36.68
C0662,2023-05-25,Michaelmas Cay,Coral Trout,F,42.8,0.96,net,FV-058,20.1,28.3,True,26.88
C1370,2023-05-25,Fitzroy Reef,Spanish Mackerel,M,72.3,3.36,spear,FV-034,22.9,27.0,False,60.48
C1792,2023-05-25,Cairns Inlet,Grass Emperor,M,43.0,1.32,spear,FV-071,16.6,28.2,True,19.8
C0062,2023-05-26,Frankland Islands,Grass Emperor,F,31.6,0.47,net,FV-034,28.5,28.7,True,7.05
C1382,2023-05-26,Fitzroy Reef,Barramundi,F,67.7,4.13,line,FV-071,11.0,27.6,True,90.86
C1683,2023-05-26,Frankland Islands,Red Emperor,M,55.4,2.11,trap,FV-027,39.0,27.4,True,54.86
C0497,2023-05-26,Trinity Bay,Grass Emperor,U,46.4,1.49,line,FV-088,17.2,28.3,True,22.35
C0881,2023-05-27,Trinity Bay,Barramundi,M,70.0,4.08,net,FV-027,38.5,28.1,True,89.76
C1670,2023-05-27,Fitzroy Reef,Mangrove Jack,M,30.2,0.4,trap,FV-063,25.6,28.8,False,8.0
C0897,2023-05-28,Trinity Bay,Coral Trout,M,50.9,1.64,line,FV-058,32.0,28.3,True,45.92
C0692,2023-05-28,Frankland Islands,Red Emperor,U,46.9,1.57,line,FV-058,15.4,28.2,True,40.82
C0137,2023-05-28,Green Island,Coral Trout,F,41.8,1.06,trap,FV-058,6.5,27.9,True,29.68
C1392,2023-05-28,Michaelmas Cay,Coral Trout,M,38.7,0.8,line,FV-034,32.0,28.5,True,22.4
C0394,2023-05-28,Fitzroy Reef,Coral Trout,F,44.1,1.21,trap,FV-058,23.8,28.1,True,33.88
C0264,2023-05-28,Michaelmas Cay,Red Emperor,M,47.7,1.38,line,FV-058,20.8,27.6,True,35.88
C0331,2023-05-29,Green Island,Barramundi,M,59.7,2.91,line,FV-027,13.1,27.7,True,64.02
C0262,2023-05-29,Fitzroy Reef,Red Emperor,U,51.7,1.67,trap,FV-058,18.8,26.6,True,43.42
C0984,2023-05-29,Green Island,Barramundi,F,61.5,3.53,net,FV-058,23.7,27.9,True,77.66
C1044,2023-05-29,Trinity Bay,Red Emperor,M,62.4,3.87,line,FV-088,19.0,28.2,True,100.62
C1806,2023-05-29,Frankland Islands,Red Emperor,U,47.3,1.58,line,FV-012,23.1,27.4,True,41.08
C0558,2023-05-29,Frankland Islands,Grass Emperor,F,45.7,1.5,line,FV-071,31.2,27.8,True,22.5
C0870,2023-05-30,Frankland Islands,Barramundi,F,62.2,3.2,spear,FV-071,20.1,27.5,True,70.4
C1027,2023-05-30,Fitzroy Reef,Red Emperor,F,38.0,0.7,line,FV-071,26.9,28.3,False,18.2
C0146,2023-05-30,Cairns Inlet,Barramundi,M,68.1,4.12,trap,FV-012,34.3,27.2,True,90.64
C1455,2023-05-31,Green Island,Mangrove Jack,U,35.7,0.63,trap,FV-012,12.5,27.6,True,12.6
C1626,2023-05-31,Cairns Inlet,Coral Trout,M,35.4,0.62,spear,FV-034,28.6,28.3,False,17.36
C0181,2023-05-31,Michaelmas Cay,Spanish Mackerel,F,76.6,3.87,line,FV-058,43.8,27.0,True,69.66
C0107,2023-05-31,Frankland Islands,Red Emperor,U,50.1,1.87,trap,FV-063,33.2,27.2,True,48.62
C1208,2023-06-01,Michaelmas Cay,Coral Trout,M,49.3,1.68,trap,FV-088,31.6,26.7,True,47.04
C1769,2023-06-01,Michaelmas Cay,Coral Trout,U,37.9,0.69,spear,FV-034,6.8,28.3,False,19.32
C0116,2023-06-01,Green Island,Grass Emperor,F,26.2,0.26,net,FV-063,24.6,27.0,False,3.9
C0478,2023-06-02,Frankland Islands,Mangrove Jack,U,35.1,0.72,net,FV-071,26.0,26.5,True,14.4
C1952,2023-06-02,Frankland Islands,Mangrove Jack,U,37.3,0.71,line,FV-088,26.8,27.0,True,14.2
C1497,2023-06-02,Frankland Islands,Spanish Mackerel,U,87.3,6.3,trap,FV-088,21.2,27.0,True,113.4
C0938,2023-06-03,Fitzroy Reef,Red Emperor,F,47.9,1.9,line,FV-088,29.8,28.0,True,49.4
C0909,2023-06-03,Cairns Inlet,Spanish Mackerel,F,84.2,4.85,net,FV-027,9.8,27.6,True,87.3
C0744,2023-06-04,Fitzroy Reef,Coral Trout,U,36.6,0.72,trap,FV-063,34.0,26.7,False,20.16
C1712,2023-06-04,Frankland Islands,Barramundi,U,68.0,4.26,line,FV-041,6.7,27.5,True,93.72
C0060,2023-06-04,Frankland Islands,Barramundi,F,53.8,2.04,trap,FV-034,31.1,27.6,False,44.88
C0726,2023-06-04,Trinity Bay,Red Emperor,F,62.0,3.77,trap,FV-041,19.3,27.0,True,98.02
C0322,2023-06-05,Trinity Bay,Coral Trout,U,50.4,1.93,line,FV-012,16.2,26.5,True,54.04
C0267,2023-06-05,Frankland Islands,Coral Trout,F,46.8,1.43,trap,FV-012,43.7,27.4,True,40.04
C0399,2023-06-06,Cairns Inlet,Barramundi,M,51.8,2.04,line,FV-071,39.5,27.0,False,44.88
C0430,2023-06-06,Frankland Islands,Barramundi,F,60.1,2.83,line,FV-088,4.2,27.4,True,62.26
C0537,2023-06-06,Cairns Inlet,Red Emperor,U,51.3,2.05,line,FV-012,28.1,27.3,True,53.3
C0765,2023-06-06,Green Island,Coral Trout,M,40.3,0.8,line,FV-058,15.0,28.4,True,22.4
C1112,2023-06-07,Green Island,Red Emperor,F,47.4,1.7,spear,FV-034,31.7,26.4,True,44.2
C1237,2023-06-07,Trinity Bay,Grass Emperor,U,33.8,0.69,trap,FV-063,23.3,27.1,True,10.35
C1515,2023-06-07,Fitzroy Reef,Mangrove Jack,M,44.8,1.26,spear,FV-088,33.5,27.3,True,25.2
C1371,2023-06-07,Fitzroy Reef,Barramundi,M,63.9,4.06,net,FV-071,33.9,27.6,True,89.32
C1910,2023-06-07,Frankland Islands,Barramundi,U,64.7,3.66,line,FV-027,24.3,25.9,True,80.52
C0308,2023-06-07,Green Island,Grass Emperor,M,41.0,1.04,line,FV-058,3.7,27.3,True,15.6
C1878,2023-06-07,Fitzroy Reef,Mangrove Jack,F,50.3,1.85,line,FV-058,38.0,27.4,True,37.0
C0540,2023-06-08,Green Island,Coral Trout,M,34.0,0.59,line,FV-071,13.0,28.1,False,16.52
C0223,2023-06-08,Trinity Bay,Coral Trout,F,35.9,0.58,spear,FV-058,21.7,28.4,False,16.24
C0257,2023-06-08,Frankland Islands,Mangrove Jack,M,45.7,1.37,spear,FV-027,40.0,27.5,True,27.4
C0774,2023-06-08,Green Island,Spanish Mackerel,U,70.4,2.93,spear,FV-071,39.8,26.5,False,52.74
C0786,2023-06-08,Green Island,Barramundi,U,78.0,5.72,line,FV-088,29.5,27.2,True,125.84
C0805,2023-06-09,Green Island,Coral Trout,M,47.3,1.42,line,FV-071,42.4,26.7,True,39.76
C1746,2023-06-09,Green Island,Coral Trout,F,55.2,2.25,trap,FV-058,3.0,28.6,True,63.0
C1174,2023-06-09,Fitzroy Reef,Coral Trout,U,33.3,0.59,spear,FV-071,20.9,27.9,False,16.52
C1145,2023-06-10,Trinity Bay,Barramundi,F,60.6,3.18,spear,FV-012,28.3,27.3,True,69.96
C1198,2023-06-10,Michaelmas Cay,Mangrove Jack,F,35.0,0.64,line,FV-063,31.4,27.9,True,12.8
C0889,2023-06-10,Frankland Islands,Barramundi,F,72.2,5.1,line,FV-058,7.4,26.2,True,112.2
C1774,2023-06-10,Cairns Inlet,Coral Trout,M,35.9,0.62,spear,FV-034,35.1,26.7,False,17.36
C0200,2023-06-11,Trinity Bay,Coral Trout,F,38.9,0.8,spear,FV-071,19.3,27.6,True,22.4
C0145,2023-06-11,Michaelmas Cay,Barramundi,F,61.2,3.15,line,FV-027,32.3,26.8,True,69.3
C0235,2023-06-11,Trinity Bay,Red Emperor,M,46.7,1.53,trap,FV-012,27.0,27.6,True,39.78
C1845,2023-06-11,Michaelmas Cay,Mangrove Jack,F,45.6,1.52,line,FV-027,43.4,26.4,True,30.4
C1491,2023-06-11,Cairns Inlet,Red Emperor,M,56.3,2.69,line,FV-088,5.0,25.9,True,69.94
C0964,2023-06-12,Frankland Islands,Mangrove Jack,F,37.4,0.78,line,FV-063,8.2,27.2,True,15.6
C1326,2023-06-12,Michaelmas Cay,Barramundi,U,61.2,2.8,net,FV-012,3.9,27.6,True,61.6
